Time_s,C&DH_Primary,C&DH_Backup,AACS_RWA,AACS_StarTracker,AACS_IMU,AACS_SunSensor,Telecom_X_SDST,Telecom_X_TWTA,Telecom_UHF_Electra,Propulsion_Valves,Propulsion_Heaters,Thermal_Heaters,Thermal_Louvers,Power_PCU,Power_Shunt,Payload_PFP,Payload_IUVS,Payload_NGIMS,Payload_APP_Actuator
302880.000001565,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
302939.999997988,120,0,70,12,18,2,15,0,0,0,10,197,3,85,5,80,50,40,24
303000.00000447,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303060.000000894,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303119.999997318,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303180.0000038,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303240.000000224,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303299.999996647,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303360.000003129,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303419.999999553,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303479.999995977,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303540.000002459,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303599.999998882,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303659.999995306,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303720.000001788,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303779.999998212,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
303840.000004694,60,0,35,6,9,1,7.5,0,0,0,5,98.5,1.5,42.5,2.5,40,25,20,12
