Time_s,P_solar_STK_W,P_solar_model_W,P_demand_W,P_battery_W,SOC_pct,V_bus_V,P_surplus_W,P_deficit_W,LoadShed,Eclipse_flag,Pointing_mode,Theta_deg,Distance_AU,Beta_deg,Altitude_km,Comm_flag
900720.000004023,1068.195,1159.1489948618,731,-337.195,95.8221689778577,32.1315470364572,0,0,0,0,1,60.169,1.416181,-29.8354190788423,203.940172769593,1
900780.000000447,1070.184,1159.11371370345,731,-339.184,95.9187206422337,32.1469953027574,0,0,0,0,1,60.17,1.416181,-29.8344216202655,219.951469521499,1
900840.000006929,1073.63199786563,1159.07843219202,731,-342.631997865634,96.0158418324343,32.1625346931895,0,0,0,0,1,60.171,1.416181,-29.8336336571541,238.286921036646,1
900900.000003353,1074.03,1159.07843219202,731,-343.03,96.1139503146549,32.1782320503448,0,0,0,0,1,60.171,1.416181,-29.833,258.851797779259,1
900959.999999776,1073.102,1159.0431503275,731,-342.102,96.2121727599192,32.1939476415871,0,0,0,0,1,60.172,1.416181,-29.833,281.543143200376,1
901020.000006258,1074.82499866627,1159.0431503275,731,-343.824998666272,96.3101294837329,32.2096207173973,0,0,0,0,1,60.172,1.416181,-29.832236319362,306.251107730824,1
901080.000002682,1073.632,1159.0431503275,731,-342.632,96.4085795671425,32.2253727307428,0,0,0,0,1,60.172,1.416181,-29.832,332.860311684882,1
901140.000009164,1074.55899986723,1159.00786810993,731,-343.558999867231,96.5066880499742,32.2410700879959,0,0,0,0,1,60.173,1.416181,-29.8315088023583,361.251210980383,1
901200.000005588,1073.36600079963,1159.00738491868,731,-342.366000799633,96.6050619678809,32.2568099148609,0,0,0,0,1,60.173,1.41618129520355,-29.831,391.301309215444,1
901260.000002012,1074.028,1159.00623460163,731,-343.028,96.7030942850948,32.2724950856152,0,0,0,0,1,60.173,1.4161819979854,-29.831,422.88638398347,1
901320.000008494,1074.16000093341,1158.97094878332,731,-343.160000933408,96.8013161576835,32.2882105852294,0,0,0,0,1,60.174,1.416182,-29.8303152652827,455.881583196533,1
901380.000004917,1068.988,1158.97035652989,731,-337.988,96.8995758271252,32.30393213234,0,0,0,0,1,60.174,1.41618236184642,-29.83,490.162351929911,1
901440.000001341,1073.761,1158.93398014506,731,-342.761,96.9963545573528,32.3194167291764,0,0,0,0,1,60.175,1.41618302997599,-29.8299700240061,525.605378682916,1
901500.000007823,1075.35099666568,1158.93291512829,731,-344.350996665681,97.0944999777569,32.3351199964411,0,0,0,0,1,60.175,1.41618368068593,-29.8293193140727,562.089302997146,1
901560.000004247,1074.289,1158.89658248806,731,-343.289,97.1931006742607,32.3508961078817,0,0,0,0,1,60.176,1.41618432193397,-29.8286780660271,599.49535074196,1
901620.000000671,1074.023,1158.86026448069,731,-343.023,97.2913972810074,32.3666235649612,0,0,0,0,1,60.177,1.41618495406519,-29.8280459348126,637.707933481381,1
901680.000007153,1074.02199973346,1158.82397457859,731,-343.021999733456,97.3896177219073,32.3823388355052,0,0,0,0,1,60.178,1.41618556884647,-29.8268623070625,676.615021754092,1
901740.000003576,1072.96,1158.78740650266,731,-341.96,97.4878378763931,32.3980540602229,0,0,0,0,1,60.179,1.41618635343225,-29.8256465677458,716.108488775798,1
901800,1073.091,1158.75017558157,731,-342.091,97.5857539402434,32.4137206304389,0,0,0,0,1,60.18,1.41618754290536,-29.824457094642,756.084421700747,1
901860.000006482,1073.35500066686,1158.71356233021,731,-342.355000666864,97.6837075143416,32.4293932022947,0,0,0,0,1,60.181,1.41618835477777,-29.8232904444567,796.443243032395,1
